outcome,model_tier,model_type,variable_or_term,effect_measure,estimate,ci_lower,ci_upper,p_value,n_complete,events_or_counts,note,estimate_MI,ci_lower_MI,ci_upper_MI,MI_M,MI_note,relative_change_pct,ci_overlap,robustness_status
one_year_mortality,C_lite,logistic,Q('albumin-numeric result'),OR,0.38880555108199005,0.2495418618188677,0.6057891667967836,2.9754377848843332e-05,398,164.0,consultation_only_not_final_stage5,0.4549338248818518,0.32398332186798473,0.6388130840450006,40,consultation_grade_approximation_confirm_with_biostatistician,16.62714310474627,True,robust_by_DEC077
one_year_mortality,C_lite,logistic,Q('creatinine-numeric result'),OR,0.8351736030728193,0.7348265473670157,0.9492239355925922,0.005817209804781301,398,164.0,consultation_only_not_final_stage5,0.8248261180405044,0.7480808780416711,0.9094446135059084,40,consultation_grade_approximation_confirm_with_biostatistician,6.921670474990883,True,robust_by_DEC077
one_year_mortality,C_lite,logistic,Q('LV_EF'),OR,0.9709322182989171,0.9559053285569891,0.9861953316589904,0.0002099242336408659,398,164.0,consultation_only_not_final_stage5,0.9737902039180927,0.9616707631223943,0.986062379777425,40,consultation_grade_approximation_confirm_with_biostatistician,9.963938500200983,True,robust_by_DEC077
one_year_mortality,C_lite,logistic,Q('TissueDopplerEERatioSeptal'),OR,1.0056953098410393,0.9816816885469896,1.0302963455835623,0.6450953783141471,398,164.0,consultation_only_not_final_stage5,1.0045470789513293,0.9830255755178589,1.0265397553853526,40,consultation_grade_approximation_confirm_with_biostatistician,20.115335598649118,True,not_robust_review
one_year_mortality,C_lite,logistic,Q('EstimatedSysPAPressure'),OR,0.9950143635569251,0.9785407694046039,1.0117652883149608,0.5573450579057253,398,164.0,consultation_only_not_final_stage5,1.0006100578864827,0.9871450275914045,1.0142587562706256,40,consultation_grade_approximation_confirm_with_biostatistician,112.2020592074893,True,not_robust_review
survival,C_lite,cox,AgeAtFirstHFDate,HR,1.0375821111548362,1.0267005778128162,1.0485789729289543,6.951577398280668e-12,415,340.0,consultation_only_not_final_stage5,1.0391899874193662,1.03008239418943,1.0483781064935551,40,consultation_grade_approximation_confirm_with_biostatistician,4.197092695131751,True,robust_by_DEC077
survival,C_lite,cox,albumin-numeric result,HR,0.606798633442712,0.4889368699058228,0.7530718262643293,5.795678612355344e-06,415,340.0,consultation_only_not_final_stage5,0.7549885103440197,0.6379694854109186,0.8934716530906455,40,consultation_grade_approximation_confirm_with_biostatistician,43.739748259023436,True,not_robust_review
survival,C_lite,cox,creatinine-numeric result,HR,0.912202428419114,0.8582441579539629,0.9695530842848616,0.003138085545018115,415,340.0,consultation_only_not_final_stage5,0.9219819517946976,0.878427073078009,0.9676964035916854,40,consultation_grade_approximation_confirm_with_biostatistician,11.604454052887645,True,robust_by_DEC077
survival,C_lite,cox,AFIB_binary,HR,1.3540004471090088,1.0838689997648143,1.69145645015145,0.00760057829909792,415,340.0,consultation_only_not_final_stage5,1.2120037610213086,1.0101651813093198,1.4541712027985587,40,consultation_grade_approximation_confirm_with_biostatistician,36.5562042901443,True,not_robust_review
survival,C_lite,cox,LV_EF,HR,0.9804419851139485,0.9731531069869582,0.9877854566486655,2.1260902215338294e-07,415,340.0,consultation_only_not_final_stage5,0.984475494112854,0.9784828172294778,0.9905048728938988,40,consultation_grade_approximation_confirm_with_biostatistician,20.78559962217307,True,not_robust_review
survival,C_lite,cox,TissueDopplerEERatioSeptal,HR,1.014207592828299,1.0022638407407958,1.026293675915015,0.01959095798757771,415,340.0,consultation_only_not_final_stage5,1.0156180881477168,1.0043366934582902,1.0270262031561037,40,consultation_grade_approximation_confirm_with_biostatistician,9.851208252029773,True,robust_by_DEC077
survival,C_lite,cox,EstimatedSysPAPressure,HR,1.0030456237808663,0.9947008018610665,1.0114604527346835,0.4755764274774035,415,340.0,consultation_only_not_final_stage5,1.0029248906004504,0.9951734360232994,1.0107367216365049,40,consultation_grade_approximation_confirm_with_biostatistician,3.9583696537252626,True,robust_by_DEC077
survival,C_lite,cox,m/f_m,HR,0.9471592447317704,0.7427337436508714,1.207849572676144,0.6616491581373432,415,340.0,consultation_only_not_final_stage5,0.9669829875608258,0.7931118812768067,1.1789712401316468,40,consultation_grade_approximation_confirm_with_biostatistician,38.15511683109969,True,not_robust_review
survival,C_lite,cox,LACavitySize_Moderate_or_Severe,HR,1.13897754931669,0.895747725568595,1.4482535883906191,0.2883670731918191,415,340.0,consultation_only_not_final_stage5,1.1151959699816596,0.9100049402485056,1.3666541756616326,40,consultation_grade_approximation_confirm_with_biostatistician,16.215068210145837,True,robust_by_DEC077
survival,C_lite,cox,LACavitySize_Normal,HR,1.2639200126519627,0.8448339341993647,1.8908968185517503,0.2544631855938725,415,340.0,consultation_only_not_final_stage5,1.012494911884217,0.7232480135551778,1.417419650490638,40,consultation_grade_approximation_confirm_with_biostatistician,94.69831779847222,True,not_robust_review
hospitalization,C_lite,negative_binomial,C(Q('m/f'))[T.m],IRR,1.256528683341315,,,,415,781.0,consultation_only_not_final_stage5,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_lite,negative_binomial,C(Q('AFIB_binary'))[T.1],IRR,1.1104809084540865,,,,415,781.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_lite,negative_binomial,C(Q('LACavitySize'))[T.Moderate_or_Severe],IRR,0.8082412637283732,,,,415,781.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_lite,negative_binomial,C(Q('LACavitySize'))[T.Normal],IRR,1.251175157882712,,,,415,781.0,consultation_only_not_final_stage5,369686334.67913705,2.0132633480353663e-66,6.788380972705965e+82,40,consultation_grade_approximation_confirm_with_biostatistician,8703.945272306593,True,not_robust_review
hospitalization,C_lite,negative_binomial,Q('AgeAtFirstHFDate'),IRR,1.0214303034852792,,,,415,781.0,consultation_only_not_final_stage5,,,,40,consultation_grade_approximation_confirm_with_biostatistician,,True,not_robust_review
hospitalization,C_lite,negative_binomial,Q('albumin-numeric result'),IRR,0.9343730114699186,,,,415,781.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_lite,negative_binomial,Q('creatinine-numeric result'),IRR,0.9453606669116041,,,,415,781.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_lite,negative_binomial,Q('LV_EF'),IRR,0.99628144307861,,,,415,781.0,consultation_only_not_final_stage5,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_lite,negative_binomial,Q('TissueDopplerEERatioSeptal'),IRR,1.033946736635214,,,,415,781.0,consultation_only_not_final_stage5,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_lite,negative_binomial,Q('EstimatedSysPAPressure'),IRR,1.003122619892587,,,,415,781.0,consultation_only_not_final_stage5,2.7943231906803854e-22,1.991864943718549e-149,3.92006602586074e+105,40,consultation_grade_approximation_confirm_with_biostatistician,1591927.7041766732,True,not_robust_review
one_year_mortality,C_full,logistic,C(Q('m/f'))[T.m],OR,0.794898178556342,0.4800336746554028,1.3162891431018455,0.37237835519213214,391,163.0,consultation_only_not_final_stage5,0.8737244171068469,0.5844052786673456,1.306275601735688,40,consultation_grade_approximation_confirm_with_biostatistician,41.19128244282688,True,not_robust_review
one_year_mortality,C_full,logistic,C(Q('AFIB_binary'))[T.1],OR,1.5120460790251835,0.9525367723791831,2.400204812445093,0.07947407440540127,391,163.0,consultation_only_not_final_stage5,1.225776929058102,0.8445944600979075,1.7789947137907278,40,consultation_grade_approximation_confirm_with_biostatistician,50.76355076736981,True,not_robust_review
one_year_mortality,C_full,logistic,C(Q('tricuspid_regurgitation_clin_grouped'))[T.None_Trace_Mild],OR,1.1830742541273591,0.7475051568861113,1.8724482070593365,0.4729555265302138,391,163.0,consultation_only_not_final_stage5,1.0222026640530826,0.7054952184354294,1.4810848593906578,40,consultation_grade_approximation_confirm_with_biostatistician,86.9377526599198,True,not_robust_review
one_year_mortality,C_full,logistic,C(Q('LACavitySize'))[T.Moderate_or_Severe],OR,1.3575227376230306,0.8285790399189734,2.224130583056676,0.22494947942845134,391,163.0,consultation_only_not_final_stage5,1.2446448219460855,0.8349388810063744,1.855394170804433,40,consultation_grade_approximation_confirm_with_biostatistician,28.401126847773707,True,not_robust_review
one_year_mortality,C_full,logistic,C(Q('LACavitySize'))[T.Normal],OR,1.4025993910613745,0.6227053671342979,3.15925501149801,0.41413256273428856,391,163.0,consultation_only_not_final_stage5,0.8539062755625204,0.4371338278687447,1.6680382092597825,40,consultation_grade_approximation_confirm_with_biostatistician,146.68079541882565,True,not_robust_review
one_year_mortality,C_full,logistic,Q('AgeAtFirstHFDate'),OR,1.0412266491992457,1.0191751044644697,1.0637553156995159,0.000216349514421123,391,163.0,consultation_only_not_final_stage5,1.0525829783225555,1.0339013673052484,1.0716021482224003,40,consultation_grade_approximation_confirm_with_biostatistician,26.85091970256942,True,not_robust_review
one_year_mortality,C_full,logistic,Q('albumin-numeric result'),OR,0.3842134602649086,0.24452264034680046,0.6037068094773093,3.3406472520662204e-05,391,163.0,consultation_only_not_final_stage5,0.4540818083522896,0.322883844685187,0.6385896726345099,40,consultation_grade_approximation_confirm_with_biostatistician,17.466715845430098,True,robust_by_DEC077
one_year_mortality,C_full,logistic,Q('creatinine-numeric result'),OR,0.841070241713622,0.7383922677204245,0.9580262177989805,0.009173824871390726,391,163.0,consultation_only_not_final_stage5,0.8250799226443867,0.7480356291094281,0.9100594306735637,40,consultation_grade_approximation_confirm_with_biostatistician,11.090194929440452,True,robust_by_DEC077
one_year_mortality,C_full,logistic,Q('LV_EF'),OR,0.9710108116534742,0.9558418137215958,0.9864205382236629,0.0002502642907873183,391,163.0,consultation_only_not_final_stage5,0.9741258930094084,0.9619177117794812,0.9864890144042975,40,consultation_grade_approximation_confirm_with_biostatistician,10.887828415479754,True,robust_by_DEC077
one_year_mortality,C_full,logistic,Q('TissueDopplerEERatioSeptal'),OR,1.0082864430674612,0.9833187618813787,1.0338880846008647,0.5188852170923408,391,163.0,consultation_only_not_final_stage5,1.0044865832309577,0.9827115810874443,1.0267440776208996,40,consultation_grade_approximation_confirm_with_biostatistician,45.75392233355612,True,not_robust_review
one_year_mortality,C_full,logistic,Q('EstimatedSysPAPressure'),OR,0.9937552286445392,0.9771191494506773,1.0106745477391852,0.4670562945764073,391,163.0,consultation_only_not_final_stage5,1.0009765349763742,0.9872859312070601,1.0148569850968248,40,consultation_grade_approximation_confirm_with_biostatistician,115.58115754743412,True,not_robust_review
survival,C_full,cox,AgeAtFirstHFDate,HR,1.0381265353752949,1.0271490692106486,1.0492213211841954,5.248341325911119e-12,408,335.0,consultation_only_not_final_stage5,1.0395334627398034,1.0303670015198867,1.0487814716132962,40,consultation_grade_approximation_confirm_with_biostatistician,3.619515157023807,True,robust_by_DEC077
survival,C_full,cox,albumin-numeric result,HR,0.6032240621254453,0.4846393571479567,0.7508248427624782,6.007329633009631e-06,408,335.0,consultation_only_not_final_stage5,0.7520999215510417,0.6352023611015924,0.89051037375885,40,consultation_grade_approximation_confirm_with_biostatistician,43.63898523214518,True,not_robust_review
survival,C_full,cox,creatinine-numeric result,HR,0.9188149425079297,0.8630357026550954,0.9781992749299223,0.008054795412478468,408,335.0,consultation_only_not_final_stage5,0.9245952952696045,0.8809137975292003,0.9704428088565044,40,consultation_grade_approximation_confirm_with_biostatistician,7.40681352277504,True,robust_by_DEC077
survival,C_full,cox,AFIB_binary,HR,1.3414709572141412,1.070644510451818,1.6808047035982154,0.010672391971942106,408,335.0,consultation_only_not_final_stage5,1.2125280275956642,1.0098480990792558,1.4558865031736266,40,consultation_grade_approximation_confirm_with_biostatistician,34.40119928406119,True,not_robust_review
survival,C_full,cox,LV_EF,HR,0.9808389384331969,0.973532431059372,0.9882002822442072,3.94913950797859e-07,408,335.0,consultation_only_not_final_stage5,0.9843782122028222,0.9783756062948797,0.9904176457641263,40,consultation_grade_approximation_confirm_with_biostatistician,18.61744730655275,True,robust_by_DEC077
survival,C_full,cox,TissueDopplerEERatioSeptal,HR,1.0162756330351914,1.0037996932649647,1.028906632698537,0.0104150607517183,408,335.0,consultation_only_not_final_stage5,1.0158424933614376,1.0046560370895645,1.0271535064958615,40,consultation_grade_approximation_confirm_with_biostatistician,2.640472210962694,True,robust_by_DEC077
survival,C_full,cox,EstimatedSysPAPressure,HR,1.003000028809193,0.9945712223484823,1.0115002678397946,0.4866122082798674,408,335.0,consultation_only_not_final_stage5,1.002989271071146,0.9955267288620461,1.010507753050227,40,consultation_grade_approximation_confirm_with_biostatistician,0.358053199056601,True,robust_by_DEC077
survival,C_full,cox,m/f_m,HR,0.9448334902217024,0.7389154307278532,1.208135988397452,0.6509518597544774,408,335.0,consultation_only_not_final_stage5,0.9691883094697931,0.7949536470975354,1.1816110066825904,40,consultation_grade_approximation_confirm_with_biostatistician,44.8489074380971,True,not_robust_review
survival,C_full,cox,tricuspid_regurgitation_clin_grouped_None_Trace_Mild,HR,0.957530635428964,0.7650626009921052,1.1984181642077896,0.7046546379652235,408,335.0,consultation_only_not_final_stage5,0.9223341254088223,0.764181261913964,1.1132178728944468,40,consultation_grade_approximation_confirm_with_biostatistician,86.29555003612464,True,not_robust_review
survival,C_full,cox,LACavitySize_Moderate_or_Severe,HR,1.1416974383986505,0.8970431571411498,1.4530772911753436,0.28149968045973817,408,335.0,consultation_only_not_final_stage5,1.1052733074153367,0.9027784527954854,1.3531881274990776,40,consultation_grade_approximation_confirm_with_biostatistician,24.467582275615964,True,not_robust_review
survival,C_full,cox,LACavitySize_Normal,HR,1.257431573370392,0.8333637478870562,1.897291747712341,0.2750786446615736,408,335.0,consultation_only_not_final_stage5,1.0053242492575432,0.7184272527224516,1.4067907951923075,40,consultation_grade_approximation_confirm_with_biostatistician,97.6818886891329,True,not_robust_review
hospitalization,C_full,negative_binomial,C(Q('m/f'))[T.m],IRR,1.248678468606255,,,,408,766.0,consultation_only_not_final_stage5,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_full,negative_binomial,C(Q('AFIB_binary'))[T.1],IRR,1.1136876490357885,,,,408,766.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_full,negative_binomial,C(Q('tricuspid_regurgitation_clin_grouped'))[T.None_Trace_Mild],IRR,0.9824199115238941,,,,408,766.0,consultation_only_not_final_stage5,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_full,negative_binomial,C(Q('LACavitySize'))[T.Moderate_or_Severe],IRR,0.8099038119730664,,,,408,766.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_full,negative_binomial,C(Q('LACavitySize'))[T.Normal],IRR,1.261596027584795,,,,408,766.0,consultation_only_not_final_stage5,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_full,negative_binomial,Q('AgeAtFirstHFDate'),IRR,1.0214903771865036,,,,408,766.0,consultation_only_not_final_stage5,,,,40,consultation_grade_approximation_confirm_with_biostatistician,,True,not_robust_review
hospitalization,C_full,negative_binomial,Q('albumin-numeric result'),IRR,0.9309168156873452,,,,408,766.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_full,negative_binomial,Q('creatinine-numeric result'),IRR,0.94613093134227,,,,408,766.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_full,negative_binomial,Q('LV_EF'),IRR,0.9970166134582471,,,,408,766.0,consultation_only_not_final_stage5,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_full,negative_binomial,Q('TissueDopplerEERatioSeptal'),IRR,1.0353012229644587,,,,408,766.0,consultation_only_not_final_stage5,,,,40,consultation_grade_approximation_confirm_with_biostatistician,,True,not_robust_review
hospitalization,C_full,negative_binomial,Q('EstimatedSysPAPressure'),IRR,1.002718628547399,,,,408,766.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
