variable,predictor_role,clinical_domain,candidate_logic_type,variable_type,approx_df,max_missing_pct_stage3,min_n_model_stage3,best_signal_summary,overlap_summary,external_clinical_priority,external_clinical_priority_reason,evidence_source_type,data_signal_discovery_candidate,innovation_potential,clinical_plausibility,novelty_rationale,stage3_signal_is_descriptive_only,inclusion_not_based_on_pvalue,outcome_relevance_flag_1y,outcome_relevance_flag_survival,outcome_relevance_flag_hosp,rationale_1y,rationale_survival,rationale_hosp,preliminary_recommendation,committee_review_priority,include_1y_main,include_survival_main,include_hosp_main,sensitivity_only,exclude_from_main,final_decision,decision_reason,committee_notes,representative_variable_reason,retain_despite_not_cardiology_prioritized,reason_to_exclude_despite_cardiology_priority,final_include_1y,final_include_survival,final_include_hosp,decision_basis,decision_reason_free_text,reviewer_defensibility_note
TissueDopplerEVelositySeptal,main_candidate,Diastolic / filling pressure,primary_clinical_supporting,continuous,1,0.1770186335403726,509,1y: OR=0.923 (per 1 SD increase); p>=0.10; reduced | survival: HR=0.812 (per 1 SD increase); p<0.05; reduced | hosp: IRR=0.793 (per 1 SD increase); p<0.05; reduced,no overlap flag,data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,limited,supported,supported,Stage 3 descriptive p=0.392 (no signal),Stage 3 descriptive HR=0.812 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive IRR=0.793 (per 1 SD increase); p<0.05; reduced,overlap_review_needed,medium,,,,,,,,,,,,,,,,,
EstimatedSysPAPressure,main_candidate,Pulmonary pressure / right-sided burden,primary_echo_domain,continuous,1,0.1701782820097244,512,1y: OR=1.190 (per 1 SD increase); p<0.10; elevated | survival: HR=1.199 (per 1 SD increase); p<0.05; elevated | hosp: IRR=1.212 (per 1 SD increase); p<0.05; elevated,overlap with: ECHO_SPAP (pulmonary_pressure),cardiology_prioritized,Pulmonary pressure (continuous SPAP) was prioritized by cardiology input.,cardiology_prior,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive p=0.054 (no signal),cardiology prior; Stage 3 descriptive HR=1.199 (per 1 SD increase); p<0.05; elevated,Stage 3 descriptive IRR=1.212 (per 1 SD increase); p<0.05; elevated,strong_clinical_echo_candidate,high,,,,,,,,,,,,,,,,,
days_echo_to_dialysis,main_candidate,Echo timing / provenance,sensitivity_or_timing,continuous,1,0.0,617,1y: OR=0.899 (per 1 SD increase); p>=0.10; reduced | survival: HR=0.915 (per 1 SD increase); p<0.05; reduced | hosp: IRR=0.939 (per 1 SD increase); p>=0.10; reduced,no overlap flag,data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,limited,supported,limited,Stage 3 descriptive p=0.198 (no signal),Stage 3 descriptive HR=0.915 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive p=0.222 (no signal),data_signal_discovery_candidate,medium,,,,,,,,,,,,,,,,,
AFIB_binary,main_candidate,Comorbidity,primary_clinical_supporting,categorical,1,0.0,617,1y: OR=1.718 (1 vs 0); p<0.05; elevated | survival: HR=1.426 (1 vs 0); p<0.05; elevated | hosp: IRR=1.188 (1 vs 0); p<0.10; elevated,no overlap flag,data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,limited,Stage 3 descriptive OR=1.718 (1 vs 0); p<0.05; elevated,Stage 3 descriptive HR=1.426 (1 vs 0); p<0.05; elevated,Stage 3 descriptive p=0.098 (no signal),data_signal_discovery_candidate,medium,,,,,,,,,,,,,,,,,
CABG_binary,main_candidate,Comorbidity,primary_clinical_supporting,categorical,1,0.0,617,1y: OR=1.323 (1 vs 0); p>=0.10; elevated | survival: HR=1.186 (1 vs 0); p>=0.10; elevated | hosp: IRR=1.453 (1 vs 0); p<0.05; elevated,no overlap flag,data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,limited,limited,supported,Stage 3 descriptive p=0.165 (no signal),Stage 3 descriptive p=0.115 (no signal),Stage 3 descriptive IRR=1.453 (1 vs 0); p<0.05; elevated,data_signal_discovery_candidate,medium,,,,,,,,,,,,,,,,,
COPD_binary,main_candidate,Comorbidity,primary_clinical_supporting,categorical,1,0.0,617,1y: OR=0.854 (1 vs 0); p>=0.10; reduced | survival: HR=1.286 (1 vs 0); p<0.05; elevated | hosp: IRR=1.214 (1 vs 0); p>=0.10; elevated,no overlap flag,data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,limited,supported,limited,Stage 3 descriptive p=0.486 (no signal),Stage 3 descriptive HR=1.286 (1 vs 0); p<0.05; elevated,Stage 3 descriptive p=0.156 (no signal),data_signal_discovery_candidate,medium,,,,,,,,,,,,,,,,,
Diabetes mellitus_binary,main_candidate,Comorbidity,core_adjustment,categorical,1,0.0,617,1y: OR=1.147 (0 vs 1); p>=0.10; elevated | survival: HR=0.961 (0 vs 1); p>=0.10; reduced | hosp: IRR=0.788 (0 vs 1); p<0.05; reduced,no overlap flag,core_adjustment,Standard adjustment / confounder rationale; consider as core adjustment regardless of univariable signal.,data_signal,True,high,high,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,supported,core adjustment / confounder; Stage 3 descriptive p=0.423 (no signal),core adjustment / confounder; Stage 3 descriptive p=0.669 (no signal),core adjustment / confounder; Stage 3 descriptive IRR=0.788 (0 vs 1); p<0.05; reduced,core_adjustment_candidate,high,,,,,,,,,,,,,,,,,
HD/PD,main_candidate,Dialysis modality,core_adjustment,categorical,1,0.0,617,1y: OR=0.802 (PD vs HD); p>=0.10; reduced | survival: HR=1.172 (PD vs HD); p>=0.10; elevated | hosp: IRR=1.267 (PD vs HD); p<0.10; elevated,no overlap flag,core_adjustment,Standard adjustment / confounder rationale; consider as core adjustment regardless of univariable signal.,core_adjustment,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,core adjustment / confounder; Stage 3 descriptive p=0.289 (no signal),core adjustment / confounder; Stage 3 descriptive p=0.146 (no signal),core adjustment / confounder; Stage 3 descriptive p=0.055 (no signal),core_adjustment_candidate,high,,,,,,,,,,,,,,,,,
HTN_binary,main_candidate,Comorbidity,core_adjustment,categorical,1,0.0,617,1y: OR=2.206 (0 vs 1); p<0.05; elevated | survival: HR=1.278 (0 vs 1); p<0.05; elevated | hosp: IRR=1.615 (0 vs 1); p<0.05; elevated,no overlap flag,core_adjustment,Standard adjustment / confounder rationale; consider as core adjustment regardless of univariable signal.,data_signal,True,high,high,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,supported,core adjustment / confounder; Stage 3 descriptive OR=2.206 (0 vs 1); p<0.05; elevated,core adjustment / confounder; Stage 3 descriptive HR=1.278 (0 vs 1); p<0.05; elevated,core adjustment / confounder; Stage 3 descriptive IRR=1.615 (0 vs 1); p<0.05; elevated,core_adjustment_candidate,high,,,,,,,,,,,,,,,,,
IHD_binary,main_candidate,Comorbidity,core_adjustment,categorical,1,0.0,617,1y: OR=0.949 (0 vs 1); p>=0.10; reduced | survival: HR=0.757 (0 vs 1); p<0.05; reduced | hosp: IRR=0.812 (0 vs 1); p<0.10; reduced,no overlap flag,core_adjustment,Standard adjustment / confounder rationale; consider as core adjustment regardless of univariable signal.,data_signal,True,high,high,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,supported,core adjustment / confounder; Stage 3 descriptive p=0.759 (no signal),core adjustment / confounder; Stage 3 descriptive HR=0.757 (0 vs 1); p<0.05; reduced,core adjustment / confounder; Stage 3 descriptive p=0.050 (no signal),core_adjustment_candidate,high,,,,,,,,,,,,,,,,,
MI_binary,main_candidate,Comorbidity,primary_clinical_supporting,categorical,1,0.0,617,1y: OR=0.883 (1 vs 0); p>=0.10; reduced | survival: HR=1.087 (1 vs 0); p>=0.10; elevated | hosp: IRR=0.991 (1 vs 0); p>=0.10; reduced,no overlap flag,overlap_representative,Available main candidate; may serve as a domain representative pending committee review.,supporting,False,low,uncertain,,True,True,limited,limited,limited,Stage 3 descriptive p=0.493 (no signal),Stage 3 descriptive p=0.377 (no signal),Stage 3 descriptive p=0.934 (no signal),needs_committee_review,low,,,,,,,,,,,,,,,,,
m/f,main_candidate,Demographics,core_adjustment,categorical,1,0.0016207455429497,616,1y: OR=1.009 (f vs m); p>=0.10; elevated | survival: HR=1.039 (f vs m); p>=0.10; elevated | hosp: IRR=1.096 (f vs m); p>=0.10; elevated,no overlap flag,core_adjustment,Standard adjustment / confounder rationale; consider as core adjustment regardless of univariable signal.,core_adjustment,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,core adjustment / confounder; Stage 3 descriptive p=0.960 (no signal),core adjustment / confounder; Stage 3 descriptive p=0.690 (no signal),core adjustment / confounder; Stage 3 descriptive p=0.414 (no signal),core_adjustment_candidate,high,,,,,,,,,,,,,,,,,
LACavitySize,main_candidate,LA / chronic filling burden,primary_echo_domain,categorical,3,0.0667701863354037,578,1y: OR=2.087 (Severely dilated vs Mildly dilated); p<0.05; elevated | survival: HR=1.897 (Severely dilated vs Mildly dilated); p<0.05; elevated | hosp: IRR=1.458 (Severely dilated vs Mildly dilated); p<0.10; elevated,no overlap flag,literature_supported,LA size is literature-supported as a chronic filling burden marker.,literature_support,False,medium,high,,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive OR=2.087 (Severely dilated vs Mildly dilated); p<0.05; elevated,cardiology prior; Stage 3 descriptive HR=1.897 (Severely dilated vs Mildly dilated); p<0.05; elevated,Stage 3 descriptive p=0.095 (no signal),literature_supported_echo_candidate,medium,,,,,,,,,,,,,,,,,
ECHO_SPAP,main_candidate,Pulmonary pressure / right-sided burden,primary_echo_domain,categorical,3,0.1880064829821718,501,1y: OR=0.630 (Mildly increased vs Severely increased); p<0.10; reduced | survival: HR=0.634 (Normal vs Severely increased); p<0.05; reduced | hosp: IRR=0.629 (Normal vs Severely increased); p<0.05; reduced,overlap with: EstimatedSysPAPressure (pulmonary_pressure),cardiology_prioritized,Categorical SPAP is the alternative pulmonary-pressure representation; do not include with EstimatedSysPAPressure simultaneously without a plan.,cardiology_prior,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive p=0.060 (no signal),cardiology prior; Stage 3 descriptive HR=0.634 (Normal vs Severely increased); p<0.05; reduced,Stage 3 descriptive IRR=0.629 (Normal vs Severely increased); p<0.05; reduced,strong_clinical_echo_candidate,high,,,,,,,,,,,,,,,,,
tricuspid_regurgitation_clin_grouped,main_candidate,Valvular disease,primary_echo_domain,categorical,3,0.0713128038897893,573,1y: OR=0.375 (Trivial vs Mild (I)); p<0.05; reduced | survival: HR=1.743 (Moderate-to-Severe vs Mild (I)); p<0.05; elevated | hosp: IRR=0.487 (Trivial vs Mild (I)); p<0.05; reduced,no overlap flag,cardiology_prioritized,Tricuspid regurgitation was prioritized by cardiology input and may reflect right-sided/pulmonary burden.,cardiology_prior,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive OR=0.375 (Trivial vs Mild (I)); p<0.05; reduced,cardiology prior; Stage 3 descriptive HR=1.743 (Moderate-to-Severe vs Mild (I)); p<0.05; elevated,Stage 3 descriptive IRR=0.487 (Trivial vs Mild (I)); p<0.05; reduced,strong_clinical_echo_candidate,high,,,,,,,,,,,,,,,,,
mitral_regurgitation_clin_grouped,main_candidate,Valvular disease,primary_clinical_supporting,categorical,3,0.0745542949756888,571,1y: OR=1.381 (Moderate-to-Severe vs Mild (I)); p>=0.10; elevated | survival: HR=1.308 (Moderate-to-Severe vs Mild (I)); p<0.05; elevated | hosp: IRR=0.853 (Trivial vs Mild (I)); p>=0.10; reduced,no overlap flag,data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,limited,supported,limited,Stage 3 descriptive p=0.161 (no signal),Stage 3 descriptive HR=1.308 (Moderate-to-Severe vs Mild (I)); p<0.05; elevated,Stage 3 descriptive p=0.252 (no signal),data_signal_discovery_candidate,medium,,,,,,,,,,,,,,,,,
echo_to_dialysis_timing_category,timing_sensitivity_only,Echo timing / provenance,sensitivity_or_timing,categorical,6,0.0,617,1y: OR=0.570 (after_dialysis vs before_181_365d); p<0.05; reduced | survival: HR=0.647 (after_dialysis vs before_181_365d); p<0.05; reduced | hosp: IRR=0.406 (same_day vs before_181_365d); p<0.10; reduced,no overlap flag,timing_sensitivity_only,Timing/provenance variable; not a primary biological predictor.,supporting,False,low,uncertain,,True,True,supported,supported,limited,Stage 3 descriptive OR=0.570 (after_dialysis vs before_181_365d); p<0.05; reduced,Stage 3 descriptive HR=0.647 (after_dialysis vs before_181_365d); p<0.05; reduced,Stage 3 descriptive p=0.053 (no signal),timing_sensitivity_only,sensitivity,,,,,,,,,,,,,,,,,
