variable,clinical_domain,external_clinical_priority,external_clinical_priority_source,external_clinical_priority_reason,evidence_source_type,data_signal_discovery_candidate,innovation_potential,clinical_plausibility,novelty_rationale,stage3_signal_summary,overlap_summary,committee_question
TissueDopplerEVelosityLateral,Diastolic / filling pressure,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,data_signal,True,high,medium,Data-informed signal not in cardiology priors; warrants discussion.,1y: OR=1.202 (per 1 SD increase); p<0.05; elevated; survival: HR=0.996 (per 1 SD increase); p>=0.10; reduced; hosp: IRR=0.901 (per 1 SD increase); p<0.10; reduced,no overlap flag; soft Spearman with TissueDopplerEERatioLateral (|rho|=0.67),Retain as discovery candidate?
TissueDopplerEVelositySeptal,Diastolic / filling pressure,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,data_signal,True,high,medium,Data-informed signal not in cardiology priors; warrants discussion.,1y: OR=0.923 (per 1 SD increase); p>=0.10; reduced; survival: HR=0.812 (per 1 SD increase); p<0.05; reduced; hosp: IRR=0.793 (per 1 SD increase); p<0.05; reduced,no overlap flag; soft Spearman with TissueDopplerEERatioSeptal (|rho|=0.68),Retain as discovery candidate?
EstimatedSysPAPressure,Pulmonary pressure / right-sided burden,cardiology_prioritized,Cardiology input,Pulmonary pressure (continuous SPAP) was prioritized by cardiology input.,cardiology_prior,False,low,high,,1y: OR=1.190 (per 1 SD increase); p<0.10; elevated; survival: HR=1.199 (per 1 SD increase); p<0.05; elevated; hosp: IRR=1.212 (per 1 SD increase); p<0.05; elevated,overlap with: ECHO_SPAP (pulmonary_pressure),Retain as cardiology prior; review missingness/overlap.
days_echo_to_dialysis,Echo timing / provenance,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,data_signal,True,high,medium,Data-informed signal not in cardiology priors; warrants discussion.,1y: OR=0.899 (per 1 SD increase); p>=0.10; reduced; survival: HR=0.915 (per 1 SD increase); p<0.05; reduced; hosp: IRR=0.939 (per 1 SD increase); p>=0.10; reduced,no overlap flag,Retain as discovery candidate?
AFIB_binary,Comorbidity,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,data_signal,True,high,medium,Data-informed signal not in cardiology priors; warrants discussion.,1y: OR=1.718 (1 vs 0); p<0.05; elevated; survival: HR=1.426 (1 vs 0); p<0.05; elevated; hosp: IRR=1.188 (1 vs 0); p<0.10; elevated,no overlap flag,Retain as discovery candidate?
CABG_binary,Comorbidity,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,data_signal,True,high,medium,Data-informed signal not in cardiology priors; warrants discussion.,1y: OR=1.323 (1 vs 0); p>=0.10; elevated; survival: HR=1.186 (1 vs 0); p>=0.10; elevated; hosp: IRR=1.453 (1 vs 0); p<0.05; elevated,no overlap flag,Retain as discovery candidate?
COPD_binary,Comorbidity,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,data_signal,True,high,medium,Data-informed signal not in cardiology priors; warrants discussion.,1y: OR=0.854 (1 vs 0); p>=0.10; reduced; survival: HR=1.286 (1 vs 0); p<0.05; elevated; hosp: IRR=1.214 (1 vs 0); p>=0.10; elevated,no overlap flag,Retain as discovery candidate?
Diabetes mellitus_binary,Comorbidity,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,data_signal,True,high,high,Data-informed signal not in cardiology priors; warrants discussion.,1y: OR=1.147 (0 vs 1); p>=0.10; elevated; survival: HR=0.961 (0 vs 1); p>=0.10; reduced; hosp: IRR=0.788 (0 vs 1); p<0.05; reduced,no overlap flag,Retain as discovery candidate?
HD/PD,Dialysis modality,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,supporting,False,low,high,,1y: OR=0.802 (PD vs HD); p>=0.10; reduced; survival: HR=1.172 (PD vs HD); p>=0.10; elevated; hosp: IRR=1.267 (PD vs HD); p<0.10; elevated,no overlap flag,Routine adjustment / confounder?
HTN_binary,Comorbidity,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,data_signal,True,high,high,Data-informed signal not in cardiology priors; warrants discussion.,1y: OR=2.206 (0 vs 1); p<0.05; elevated; survival: HR=1.278 (0 vs 1); p<0.05; elevated; hosp: IRR=1.615 (0 vs 1); p<0.05; elevated,no overlap flag,Retain as discovery candidate?
IHD_binary,Comorbidity,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,data_signal,True,high,high,Data-informed signal not in cardiology priors; warrants discussion.,1y: OR=0.949 (0 vs 1); p>=0.10; reduced; survival: HR=0.757 (0 vs 1); p<0.05; reduced; hosp: IRR=0.812 (0 vs 1); p<0.10; reduced,no overlap flag,Retain as discovery candidate?
MI_binary,Comorbidity,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,supporting,False,low,uncertain,,1y: OR=0.883 (1 vs 0); p>=0.10; reduced; survival: HR=1.087 (1 vs 0); p>=0.10; elevated; hosp: IRR=0.991 (1 vs 0); p>=0.10; reduced,no overlap flag,Routine main candidate; representative or omit?
m/f,Demographics,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,supporting,False,low,high,,1y: OR=1.009 (f vs m); p>=0.10; elevated; survival: HR=1.039 (f vs m); p>=0.10; elevated; hosp: IRR=1.096 (f vs m); p>=0.10; elevated,no overlap flag,Routine adjustment / confounder?
LACavitySize,LA / chronic filling burden,literature_supported,Literature (uremia/dialysis cohorts),LA size is literature-supported as a chronic filling burden marker.,literature_support,False,medium,high,,1y: OR=2.087 (Severely dilated vs Mildly dilated); p<0.05; elevated; survival: HR=1.897 (Severely dilated vs Mildly dilated); p<0.05; elevated; hosp: IRR=1.458 (Severely dilated vs Mildly dilated); p<0.10; elevated,no overlap flag,Retain as cardiology prior; review missingness/overlap.
ECHO_SPAP,Pulmonary pressure / right-sided burden,cardiology_prioritized,Cardiology input,Categorical SPAP is the alternative pulmonary-pressure representation; do not include with EstimatedSysPAPressure simultaneously without a plan.,cardiology_prior,False,low,high,,1y: OR=0.630 (Mildly increased vs Severely increased); p<0.10; reduced; survival: HR=0.634 (Normal vs Severely increased); p<0.05; reduced; hosp: IRR=0.629 (Normal vs Severely increased); p<0.05; reduced,overlap with: EstimatedSysPAPressure (pulmonary_pressure),Retain as cardiology prior; review missingness/overlap.
tricuspid_regurgitation_clin_grouped,Valvular disease,cardiology_prioritized,Cardiology input,Tricuspid regurgitation was prioritized by cardiology input and may reflect right-sided/pulmonary burden.,cardiology_prior,False,low,high,,1y: OR=0.375 (Trivial vs Mild (I)); p<0.05; reduced; survival: HR=1.743 (Moderate-to-Severe vs Mild (I)); p<0.05; elevated; hosp: IRR=0.487 (Trivial vs Mild (I)); p<0.05; reduced,no overlap flag,Retain as cardiology prior; review missingness/overlap.
mitral_regurgitation_clin_grouped,Valvular disease,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,data_signal,True,high,medium,Data-informed signal not in cardiology priors; warrants discussion.,1y: OR=1.381 (Moderate-to-Severe vs Mild (I)); p>=0.10; elevated; survival: HR=1.308 (Moderate-to-Severe vs Mild (I)); p<0.05; elevated; hosp: IRR=0.853 (Trivial vs Mild (I)); p>=0.10; reduced,no overlap flag,Retain as discovery candidate?
