variable,predictor_role,clinical_domain,candidate_logic_type,variable_type,approx_df,max_missing_pct_stage3,min_n_model_stage3,best_signal_summary,overlap_summary,external_clinical_priority,external_clinical_priority_reason,evidence_source_type,data_signal_discovery_candidate,innovation_potential,clinical_plausibility,novelty_rationale,stage3_signal_is_descriptive_only,inclusion_not_based_on_pvalue,outcome_relevance_flag_1y,outcome_relevance_flag_survival,outcome_relevance_flag_hosp,rationale_1y,rationale_survival,rationale_hosp,preliminary_recommendation,committee_review_priority,best_effect_1y,best_p_1y,best_q_1y,best_effect_survival,best_p_survival,best_q_survival,best_effect_hosp,best_p_hosp,best_q_hosp,consistent_signal_count,any_p_below_0_05,any_q_below_0_10,clinical_overlap_flag,statistical_collinearity_flag,soft_correlation_flag,top_soft_correlation_partner,top_soft_correlation_abs_rho,shared_core_candidate,outcome_specific_candidate,sensitivity_model_candidate,recommended_missingness_strategy_stage5,reviewer2_risk_flag,include_1y_main,include_survival_main,include_hosp_main,sensitivity_only,exclude_from_main,final_decision,decision_reason,committee_notes,representative_variable_reason,retain_despite_not_cardiology_prioritized,reason_to_exclude_despite_cardiology_priority,final_include_1y,final_include_survival,final_include_hosp,decision_basis,decision_reason_free_text,reviewer_defensibility_note
TissueDopplerEVelosityLateral,main_candidate,Diastolic / filling pressure,primary_clinical_supporting,continuous,1,0.1770186335403726,509,1y: OR=1.202 (per 1 SD increase); p<0.05; elevated | survival: HR=0.996 (per 1 SD increase); p>=0.10; reduced | hosp: IRR=0.901 (per 1 SD increase); p<0.10; reduced,no overlap flag,data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,limited,limited,Stage 3 descriptive OR=1.202 (per 1 SD increase); p<0.05; elevated,Stage 3 descriptive p=0.947 (no signal),Stage 3 descriptive p=0.089 (no signal),overlap_review_needed,medium,1.2020477829342469,0.0437193533649513,0.1378841144586926,0.9964339441813224,0.946649739080919,0.946649739080919,0.9009144343560606,0.0890903594356705,0.1818211015642916,1,True,False,False,False,True,TissueDopplerEERatioLateral,0.6685,False,False,False,MICE multiple imputation if main; otherwise complete-case sensitivity,watch for p-value-driven appearance,,,,,,,,,,,,,,,,,
TissueDopplerEVelositySeptal,main_candidate,Diastolic / filling pressure,primary_clinical_supporting,continuous,1,0.1770186335403726,509,1y: OR=0.923 (per 1 SD increase); p>=0.10; reduced | survival: HR=0.812 (per 1 SD increase); p<0.05; reduced | hosp: IRR=0.793 (per 1 SD increase); p<0.05; reduced,no overlap flag,data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,limited,supported,supported,Stage 3 descriptive p=0.392 (no signal),Stage 3 descriptive HR=0.812 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive IRR=0.793 (per 1 SD increase); p<0.05; reduced,overlap_review_needed,medium,0.9230826230642324,0.3916552317762554,0.6176101731856336,0.8123955673574529,0.0007253199892281,0.0027034654143959,0.7934927892785079,0.0003749215984511,0.002561964256083,2,True,True,False,False,True,TissueDopplerEERatioSeptal,0.6766,False,False,False,MICE multiple imputation if main; otherwise complete-case sensitivity,watch for p-value-driven appearance,,,,,,,,,,,,,,,,,
EstimatedSysPAPressure,main_candidate,Pulmonary pressure / right-sided burden,primary_echo_domain,continuous,1,0.1701782820097244,512,1y: OR=1.190 (per 1 SD increase); p<0.10; elevated | survival: HR=1.199 (per 1 SD increase); p<0.05; elevated | hosp: IRR=1.212 (per 1 SD increase); p<0.05; elevated,overlap with: ECHO_SPAP (pulmonary_pressure),cardiology_prioritized,Pulmonary pressure (continuous SPAP) was prioritized by cardiology input.,cardiology_prior,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive p=0.054 (no signal),cardiology prior; Stage 3 descriptive HR=1.199 (per 1 SD increase); p<0.05; elevated,Stage 3 descriptive IRR=1.212 (per 1 SD increase); p<0.05; elevated,strong_clinical_echo_candidate,high,1.1896307060868807,0.0536978009820297,0.1531829819175197,1.199171467205739,0.0002083016906678,0.0010675461646727,1.2115824492116103,0.0007813082625676,0.0032033638765271,2,True,True,True,False,False,,,False,False,False,MICE multiple imputation if main; otherwise complete-case sensitivity,,,,,,,,,,,,,,,,,,
days_echo_to_dialysis,main_candidate,Echo timing / provenance,sensitivity_or_timing,continuous,1,0.0,617,1y: OR=0.899 (per 1 SD increase); p>=0.10; reduced | survival: HR=0.915 (per 1 SD increase); p<0.05; reduced | hosp: IRR=0.939 (per 1 SD increase); p>=0.10; reduced,no overlap flag,data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,limited,supported,limited,Stage 3 descriptive p=0.198 (no signal),Stage 3 descriptive HR=0.915 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive p=0.222 (no signal),data_signal_discovery_candidate,medium,0.8992664460036704,0.1975212654073238,0.3521031252913164,0.9146311704184272,0.042730756488928,0.0834267150498119,0.9392775108428236,0.2219744596442665,0.3370723276079603,1,True,True,False,False,False,,,False,False,True,complete-case acceptable,watch for p-value-driven appearance,,,,,,,,,,,,,,,,,
AFIB_binary,main_candidate,Comorbidity,primary_clinical_supporting,categorical,1,0.0,617,1y: OR=1.718 (1 vs 0); p<0.05; elevated | survival: HR=1.426 (1 vs 0); p<0.05; elevated | hosp: IRR=1.188 (1 vs 0); p<0.10; elevated,no overlap flag,data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,limited,Stage 3 descriptive OR=1.718 (1 vs 0); p<0.05; elevated,Stage 3 descriptive HR=1.426 (1 vs 0); p<0.05; elevated,Stage 3 descriptive p=0.098 (no signal),data_signal_discovery_candidate,medium,1.7177333491063156,0.0011746597982504,0.0068801502468952,1.4264356592234877,7.159190219119331e-05,0.0004892113316398,1.1882209485261876,0.0975625423027906,0.1818211015642916,2,True,True,False,False,False,,,False,False,False,complete-case acceptable,watch for p-value-driven appearance,,,,,,,,,,,,,,,,,
CABG_binary,main_candidate,Comorbidity,primary_clinical_supporting,categorical,1,0.0,617,1y: OR=1.323 (1 vs 0); p>=0.10; elevated | survival: HR=1.186 (1 vs 0); p>=0.10; elevated | hosp: IRR=1.453 (1 vs 0); p<0.05; elevated,no overlap flag,data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,limited,limited,supported,Stage 3 descriptive p=0.165 (no signal),Stage 3 descriptive p=0.115 (no signal),Stage 3 descriptive IRR=1.453 (1 vs 0); p<0.05; elevated,data_signal_discovery_candidate,medium,1.3231740167782562,0.1649247234069821,0.3073597118039213,1.1861979104884364,0.1148512440809095,0.2049276469095256,1.4534225478641267,0.0031623197647301,0.0117868282139943,1,True,True,False,False,False,,,False,False,False,complete-case acceptable,watch for p-value-driven appearance,,,,,,,,,,,,,,,,,
COPD_binary,main_candidate,Comorbidity,primary_clinical_supporting,categorical,1,0.0,617,1y: OR=0.854 (1 vs 0); p>=0.10; reduced | survival: HR=1.286 (1 vs 0); p<0.05; elevated | hosp: IRR=1.214 (1 vs 0); p>=0.10; elevated,no overlap flag,data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,limited,supported,limited,Stage 3 descriptive p=0.486 (no signal),Stage 3 descriptive HR=1.286 (1 vs 0); p<0.05; elevated,Stage 3 descriptive p=0.156 (no signal),data_signal_discovery_candidate,medium,0.8539598332702085,0.485720855999992,0.6731271189583196,1.2857433110878402,0.0328718562623898,0.0709340056188412,1.2140253140013906,0.1562193488200773,0.2561997320649268,1,True,True,False,False,False,,,False,False,False,complete-case acceptable,watch for p-value-driven appearance,,,,,,,,,,,,,,,,,
Diabetes mellitus_binary,main_candidate,Comorbidity,core_adjustment,categorical,1,0.0,617,1y: OR=1.147 (0 vs 1); p>=0.10; elevated | survival: HR=0.961 (0 vs 1); p>=0.10; reduced | hosp: IRR=0.788 (0 vs 1); p<0.05; reduced,no overlap flag,core_adjustment,Standard adjustment / confounder rationale; consider as core adjustment regardless of univariable signal.,data_signal,True,high,high,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,supported,core adjustment / confounder; Stage 3 descriptive p=0.423 (no signal),core adjustment / confounder; Stage 3 descriptive p=0.669 (no signal),core adjustment / confounder; Stage 3 descriptive IRR=0.788 (0 vs 1); p<0.05; reduced,core_adjustment_candidate,high,1.1465753424657463,0.4228557589342582,0.6421143006038735,0.9609889855124628,0.6691324062533961,0.7441128631745729,0.7883959490582821,0.0293933044842622,0.0803416989236502,1,True,True,False,False,False,,,True,False,False,complete-case acceptable,watch for p-value-driven appearance,,,,,,,,,,,,,,,,,
HD/PD,main_candidate,Dialysis modality,core_adjustment,categorical,1,0.0,617,1y: OR=0.802 (PD vs HD); p>=0.10; reduced | survival: HR=1.172 (PD vs HD); p>=0.10; elevated | hosp: IRR=1.267 (PD vs HD); p<0.10; elevated,no overlap flag,core_adjustment,Standard adjustment / confounder rationale; consider as core adjustment regardless of univariable signal.,core_adjustment,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,core adjustment / confounder; Stage 3 descriptive p=0.289 (no signal),core adjustment / confounder; Stage 3 descriptive p=0.146 (no signal),core adjustment / confounder; Stage 3 descriptive p=0.055 (no signal),core_adjustment_candidate,high,0.8019771393266,0.2888822217425817,0.4935071288102438,1.172470225467247,0.1455584652383049,0.2295345028757886,1.2670009847925283,0.0549245076991619,0.1251058230925355,0,False,False,False,False,False,,,True,False,False,complete-case acceptable,,,,,,,,,,,,,,,,,,
HTN_binary,main_candidate,Comorbidity,core_adjustment,categorical,1,0.0,617,1y: OR=2.206 (0 vs 1); p<0.05; elevated | survival: HR=1.278 (0 vs 1); p<0.05; elevated | hosp: IRR=1.615 (0 vs 1); p<0.05; elevated,no overlap flag,core_adjustment,Standard adjustment / confounder rationale; consider as core adjustment regardless of univariable signal.,data_signal,True,high,high,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,supported,core adjustment / confounder; Stage 3 descriptive OR=2.206 (0 vs 1); p<0.05; elevated,core adjustment / confounder; Stage 3 descriptive HR=1.278 (0 vs 1); p<0.05; elevated,core adjustment / confounder; Stage 3 descriptive IRR=1.615 (0 vs 1); p<0.05; elevated,core_adjustment_candidate,high,2.2056347907410774,0.0002772213934758,0.0018943461887519,1.2783610036782411,0.0376626550316662,0.0772084428149157,1.6150882314486363,0.0005466689447077,0.0027793704285293,3,True,True,False,False,False,,,True,False,False,complete-case acceptable,watch for p-value-driven appearance,,,,,,,,,,,,,,,,,
IHD_binary,main_candidate,Comorbidity,core_adjustment,categorical,1,0.0,617,1y: OR=0.949 (0 vs 1); p>=0.10; reduced | survival: HR=0.757 (0 vs 1); p<0.05; reduced | hosp: IRR=0.812 (0 vs 1); p<0.10; reduced,no overlap flag,core_adjustment,Standard adjustment / confounder rationale; consider as core adjustment regardless of univariable signal.,data_signal,True,high,high,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,supported,core adjustment / confounder; Stage 3 descriptive p=0.759 (no signal),core adjustment / confounder; Stage 3 descriptive HR=0.757 (0 vs 1); p<0.05; reduced,core adjustment / confounder; Stage 3 descriptive p=0.050 (no signal),core_adjustment_candidate,high,0.9491850431447793,0.7592345625324494,0.9002119142442218,0.7568872692693425,0.0030331940094215,0.0077725596491426,0.8116124299860189,0.0501571534520945,0.1251058230925355,1,True,True,False,False,False,,,True,False,False,complete-case acceptable,watch for p-value-driven appearance,,,,,,,,,,,,,,,,,
MI_binary,main_candidate,Comorbidity,primary_clinical_supporting,categorical,1,0.0,617,1y: OR=0.883 (1 vs 0); p>=0.10; reduced | survival: HR=1.087 (1 vs 0); p>=0.10; elevated | hosp: IRR=0.991 (1 vs 0); p>=0.10; reduced,no overlap flag,overlap_representative,Available main candidate; may serve as a domain representative pending committee review.,supporting,False,low,uncertain,,True,True,limited,limited,limited,Stage 3 descriptive p=0.493 (no signal),Stage 3 descriptive p=0.377 (no signal),Stage 3 descriptive p=0.934 (no signal),needs_committee_review,low,0.8833910034602201,0.492532038262185,0.6731271189583196,1.0874632549467718,0.3770560643954815,0.4684635951580225,0.990738447522285,0.9341237954936557,0.9574768903809968,0,False,False,False,False,False,,,False,False,False,complete-case acceptable,,,,,,,,,,,,,,,,,,
m/f,main_candidate,Demographics,core_adjustment,categorical,1,0.0016207455429497,616,1y: OR=1.009 (f vs m); p>=0.10; elevated | survival: HR=1.039 (f vs m); p>=0.10; elevated | hosp: IRR=1.096 (f vs m); p>=0.10; elevated,no overlap flag,core_adjustment,Standard adjustment / confounder rationale; consider as core adjustment regardless of univariable signal.,core_adjustment,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,core adjustment / confounder; Stage 3 descriptive p=0.960 (no signal),core adjustment / confounder; Stage 3 descriptive p=0.690 (no signal),core adjustment / confounder; Stage 3 descriptive p=0.414 (no signal),core_adjustment_candidate,high,1.009090909090909,0.959668646633253,0.959668646633253,1.0392941550899923,0.6896655805032628,0.7441128631745729,1.0957637633800346,0.4142862549657167,0.5661912151198129,0,False,False,False,False,False,,,True,False,False,complete-case acceptable,,,,,,,,,,,,,,,,,,
LACavitySize,main_candidate,LA / chronic filling burden,primary_echo_domain,categorical,3,0.0667701863354037,578,1y: OR=2.087 (Severely dilated vs Mildly dilated); p<0.05; elevated | survival: HR=1.897 (Severely dilated vs Mildly dilated); p<0.05; elevated | hosp: IRR=1.458 (Severely dilated vs Mildly dilated); p<0.10; elevated,no overlap flag,literature_supported,LA size is literature-supported as a chronic filling burden marker.,literature_support,False,medium,high,,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive OR=2.087 (Severely dilated vs Mildly dilated); p<0.05; elevated,cardiology prior; Stage 3 descriptive HR=1.897 (Severely dilated vs Mildly dilated); p<0.05; elevated,Stage 3 descriptive p=0.095 (no signal),literature_supported_echo_candidate,medium,2.0872210953346686,0.0337784158090769,0.1259013680156502,1.896722880270236,0.0003636926473152,0.0014911398539925,1.45764337879927,0.0948859295195378,0.1818211015642916,2,True,True,False,False,False,,,False,False,False,complete-case acceptable,,,,,,,,,,,,,,,,,,
ECHO_SPAP,main_candidate,Pulmonary pressure / right-sided burden,primary_echo_domain,categorical,3,0.1880064829821718,501,1y: OR=0.630 (Mildly increased vs Severely increased); p<0.10; reduced | survival: HR=0.634 (Normal vs Severely increased); p<0.05; reduced | hosp: IRR=0.629 (Normal vs Severely increased); p<0.05; reduced,overlap with: EstimatedSysPAPressure (pulmonary_pressure),cardiology_prioritized,Categorical SPAP is the alternative pulmonary-pressure representation; do not include with EstimatedSysPAPressure simultaneously without a plan.,cardiology_prior,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive p=0.060 (no signal),cardiology prior; Stage 3 descriptive HR=0.634 (Normal vs Severely increased); p<0.05; reduced,Stage 3 descriptive IRR=0.629 (Normal vs Severely increased); p<0.05; reduced,strong_clinical_echo_candidate,high,0.6296805221573455,0.0597787246507394,0.1531829819175197,0.6341044384643224,0.0021353812358228,0.0058367087112491,0.6286108845030994,0.0067850676145036,0.0220102790835289,2,True,True,True,False,False,,,False,False,False,MICE multiple imputation if main; otherwise complete-case sensitivity,,,,,,,,,,,,,,,,,,
